sequence,name,has_inspection,speed,acc,j1,j2,j3,j4,j5,j6
0,default_name,no,1,1,-1.835,-1.993,-1.636,-1.064,1.489,-1.026
10,default_name,no,1,1,-2.095,-2.042,-1.819,-1.019,1.233,-0.992
20,default_name,no,1,1,-1.973,-2.191,-1.646,-0.741,0.948,-1.99
30,default_name,no,1,1,-1.965,-2.213,-1.594,-0.742,1.028,-1.99
40,default_name,no,1,1,-1.972,-2.259,-1.518,-0.745,1.134,-1.99
50,default_name,no,1,1,-2.042,-2.294,-1.496,-0.732,1.278,-2.066
60,default_name,no,1,1,-1.909,-2.432,-1.201,-0.769,1.281,-2.978
70,default_name,no,1,1,-1.917,-2.226,-1.02,-1.486,1.281,-2.978
80,default_name,no,1,1,-1.493,-1.991,-1.822,-0.92,1.714,1.814
90,default_name,no,1,1,-1.86,-1.956,-1.708,-0.904,1.527,-0.286
